FoodID;FoodName;EnglishFoodName;FoodGroupID;FoodGroupName;FoodSubGroup;FoodSubSubGroup;203;204;205;208;291;601;255;269;810;301;304;305;306;307;303;309;312;315;317;606;645;646;617;618;619;620;629;621;319;321;339;401;404;405;406;410;415;417;418;3000;4000;4001;501;502;503;504;505;506;508;512;510
20031;Laitue;Lettuce;1;Fruits et légumes;légumes;légumes crus;1.3;0.2;1.33;0;1.2;0;95.3;0.73;0;64.6;14.9;29.5;200;8.47;0.98;0.2;0.036;0.4;2.33;0.021;0.0067;0.085;0.005;0.023;0.056;0;0;0;0;3640;0;11.8;0.067;0.077;0.36;0.14;0.09;43.5;0;1.22;0.18;123;0.01;0.043;0.045;0.076;0.064;0.015;0.065;0.021;0.055
20034;Oignon, cru;Onion, raw;1;Fruits et légumes;légumes;légumes crus;1.1;0.62;6.25;0;1.7;0;89.6;4.8;0.5;25;9;37;190;39;0.00019;0.23;0.0001;0.1;2.3;0.2;0.021;0.066;0.021;0.062;0.0031;0;0;0;0;50;0;3.9;0.05;0.05;0.05;0.15;0.1;29.6;0;10;0.045;0.35;0.014;0.021;0.014;0.025;0.039;0.002;0.025;0.014;0.021
20038;Pissenlit, cru;Dandelion, raw;1;Fruits et légumes;légumes;légumes crus;2.91;0.85;6.1;0;2.7;0;85.3;0.71;0;62.3;13.2;66;397;87.8;3.1;0.21;0.067;0.16;2.2;0.17;0.014;0.31;0;0;0;0;0;0;0;5850;0;37.5;0.19;0.2;0.8;0.084;0.25;27;0;0.4;3.44;778;;;;;;;;;
20039;Poireau, cru;Leek, raw;1;Fruits et légumes;légumes;légumes crus;1.49;0.25;4.9;32.3;2.27;0;87.6;3.15;0;50.7;19;40.3;208;14.5;1.5;0.21;0.087;0.34;0.56;0.05;0.007;0.14;0.007;0.11;0.03;0;0;0;0;1000;0;18.5;0.065;0.065;0.5;0.13;0.24;73;0;1.1;0.74;47;0.012;0.063;0.052;0.096;0.078;0.018;0.055;0.025;0.056
20044;Potiron, cru;Pumpkin, raw;1;Fruits et légumes;légumes;légumes crus;1;0.1;3.5;0;0.5;0;91.6;1.36;1;21;12;44;340;1;0.8;0.32;0.13;0.13;0;0.052;0.013;0.005;0;0;0;0;0;0;0;3100;0;9;0.05;0.11;0.6;0.3;0.061;16;0;0;1.06;1.1;0.012;0.029;0.031;0.046;0.054;0.011;0.032;0.016;0.035
20045;Radis rouge, cru;Radish;1;Fruits et légumes;légumes;légumes crus;0.94;0.5;1.53;14.5;1.4;0;95.5;1.1;0.35;15;6.2;20;250;16;0.4;0.08;0.01;0.04;20;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;5;0;12.2;0.015;0.01;0.1;0.09;0.063;95.4;0;20;0.08;0.8;0.009;0.023;0.02;0.031;0.033;0.01;0.036;0.013;0.035
20047;Tomate, crue;Tomato, raw;1;Fruits et légumes;légumes;légumes crus;0.86;0.26;2.49;19.3;1.2;0;94.1;2.48;0;8.14;10.1;26.6;256;3.22;0.12;0.087;0.029;0.066;10;0.056;0.035;0.12;0.035;0.093;0.0086;0;0;0;0;449;0;15.5;0.039;0.019;0.65;0.21;0.082;22.7;0;0.2;0.66;7.9;0.007;0.024;0.023;0.036;0.036;0.008;0.025;0.015;0.025
20052;Artichaut, cru;Artichoke, raw;1;Fruits et légumes;légumes;légumes crus;3.2;0.18;4.92;0;5.4;0;84.9;0.99;0.6;52;47.8;81.2;387;60.5;1.19;0.49;0.23;0.26;0.23;0.036;0.005;0.064;0;0;0;0;0;0;0;8;0;11.7;0.081;0.063;1.05;0.32;0.11;68;0;0.5;0.27;14.8;;;;;;;;;
20053;Aubergine, crue;Eggplant, raw;1;Fruits et légumes;légumes;légumes crus;1.12;0.14;2.39;0;2.7;0;92.9;2.39;0;8.7;12;27.2;235;2.5;0.32;0.16;0.081;0.24;0.2;0.034;0.016;0.076;0.011;0.067;0.0091;0;0;0;0;14;0;2.1;0.045;0.034;0.72;0.25;0.082;24.5;0;0.15;0.17;3.5;0.009;0.037;0.045;0.064;0.047;0.011;0.043;0.023;0.053
20055;Céleri-rave, cru;Celeriac, raw;1;Fruits et légumes;légumes;légumes crus;1.38;0.5;3.98;29.3;4.5;0;88.8;1.6;0.35;40;13;56;500;34;0.28;0.33;0.11;0.2;20;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;5;0;2.87;0.059;0.041;0.3;0.59;0.2;39;0;20;0.12;0.8;0.009;0.02;0.021;0.032;0.027;0.005;0.02;0.012;0.027
20056;Champignon de paris, cru;Mushroom, from paris, raw;1;Fruits et légumes;légumes;légumes crus;2.62;0.36;3.15;28;1;0;93.9;2.5;0.2;6.03;10.5;96.6;364;39;0.31;0.5;0.35;0.076;6.47;0.067;0.012;0.14;0.003;0.14;0.00026;0;0;0;0;0;0.3;3.09;0.073;0.29;5;1.57;0.1;34.5;0;1;0.02;0;0.035;0.107;0.076;0.12;0.107;0.031;0.085;0.057;0.232
20057;Brocoli, cru;Broccoli, raw;1;Fruits et légumes;légumes;légumes crus;3.95;0.48;1.7;0;2.9;0;88.9;1.7;0;45.9;21.9;76.5;357;19;0.76;0.4;0.059;0.4;0.6;0.061;0.022;0.16;0;0;0;0;0;0;0;361;0;106;0.074;0.12;0.82;0.78;0.17;153;0;0.8;1.04;181;0.033;0.088;0.079;0.129;0.135;0.038;0.117;0.059;0.125
20058;Chou de bruxelles, cru;Brussels sprout, raw;1;Fruits et légumes;légumes;légumes crus;3.98;0.4;5.67;0;3.95;0;85;2.2;1;32.3;23.5;76.4;436;16.5;1.15;0.43;0.062;0.3;1.1;0.07;0.019;0.23;0.014;0.054;0.18;0;0;0;0;450;0;103;0.13;0.13;0.77;0.52;0.25;95.5;0;0.25;0.89;214;0.011;0.035;0.03;0.041;0.044;0.012;0.032;0.022;0.042
20059;Épinard, cru;Spinach, raw;1;Fruits et légumes;légumes;légumes crus;2.62;0.5;2.25;0;2.37;0;91.6;0.32;1.93;114;52.5;45.2;504;66.7;3.61;0.82;0.1;1.3;0.1;0.064;0.021;0.26;0.021;0.045;0.22;0;0;0;0;5630;0;41.1;0.087;0.21;0.71;0.18;0.21;207;0;3.4;2.47;521;0.039;0.122;0.147;0.223;0.174;0.053;0.129;0.064;0.161
20061;Haricot vert, cru;French bean, raw;1;Fruits et légumes;légumes;légumes crus;1.85;0.21;4.14;0;2.85;0;90.4;3.26;0.88;48.5;21;38.5;224;3.85;1.02;0.32;0.063;0.23;0.3;0.06;0.0085;0.11;0.007;0.051;0.06;0;0;0;0;379;0;13.6;0.086;0.11;0.72;0.14;0.12;48.5;0;0.8;0.36;14.4;0.223;0.792;0.831;1.502;1.291;0.283;1.017;0.524;0.984
20064;Navet, cru;Turnip, raw;1;Fruits et légumes;légumes;légumes crus;0.76;0.1;4.7;0;1.9;0;91.9;3.8;0.69;40;9.5;38.5;237;42;0.4;0.25;0.063;0.1;1.25;0.011;0.006;0.053;0;0;0;0;0;0;0;0;0;18.5;0.04;0.038;0.7;0.2;0.085;17.5;0;0.5;0.03;0.1;0.009;0.025;0.036;0.033;0.036;0.011;0.017;0.014;0.03
20065;Chou-rave, cru;Turnip cabbage, raw;1;Fruits et légumes;légumes;légumes crus;1.79;0.1;2.35;0;3.6;0;91;2.35;0;24;19;46;350;20;0.4;0.03;0.13;0.14;0.47;0.013;0.007;0.049;0.007;0.021;0.027;0;0;0;0;22;0;55.1;0.05;0.02;0.4;0.17;0.15;16;0;0.71;0.48;0.1;0.01;0.049;0.078;0.067;0.056;0.013;0.039;0.019;0.05
20069;Chou vert, cru;Green cabbage, raw;1;Fruits et légumes;légumes;légumes crus;2.53;0.41;1.92;0;3.08;0;91.8;1.92;0;96.2;18;32.7;231;25.8;0.93;0.22;0.049;0.17;1.86;0.054;0.014;0.076;0.013;0.036;0.039;0;0;0;0;321;0;69;0.059;0.039;0.26;0.17;0.15;67.9;0;0.3;0.16;121;0.011;0.035;0.03;0.041;0.044;0.012;0.032;0.022;0.042
20072;Petits pois, crus;Garden peas, raw;1;Fruits et légumes;légumes;légumes crus;5.84;0.55;7;0;5.5;0;79.2;5.67;0;27.5;30.5;119;272;3.5;1.64;1;0.14;0.4;1.02;0.1;0.042;0.29;0.042;0.24;0.048;0;0;0;0;449;0;41.5;0.29;0.13;2.15;0.43;0.16;45;0;0.15;0.075;47.4;0.037;0.203;0.195;0.323;0.317;0.082;0.2;0.107;0.235
20073;Asperge, crue;Asparagus, raw;1;Fruits et légumes;légumes;légumes crus;2.04;0.21;2.4;0;1.95;0;93.3;1.88;0;22;11.5;52;202;4.2;1.32;0.49;0.12;0.16;1;0.051;0.005;0.098;0.004;0.09;0.0081;0;0;0;0;449;0;8.8;0.13;0.12;0.99;0.17;0.076;101;0;0.15;0.72;40.3;0.027;0.084;0.075;0.128;0.104;0.031;0.075;0.049;0.115
20083;Épinard, surgelé, cru;Spinach, frozen, raw;1;Fruits et légumes;légumes;légumes crus;2.87;0.49;0.89;0;2.7;0;91.6;0.6;0;159;50.5;47.7;398;46.5;2.28;0.49;0.12;0.53;0.1;0.075;0.029;0.2;0.019;0.035;0.16;0;0;0;0;7040;0;21.4;0.093;0.2;0.51;0.11;0.18;183;0;3.4;2.9;356;0.039;0.122;0.147;0.223;0.174;0.053;0.129;0.064;0.161
