alim_ssssgrp_code;alim_grp_nom_fr;alim_ssgrp_nom_fr;alim_ssssgrp_nom_fr;alim_code;alim_nom_fr;208;255;203;205;204;269;810;291;606;645;646;617;618;619;620;629;621;601;301;312;303;3000;304;315;305;306;317;307;309;319;321;339;4000;4001;401;404;405;406;410;415;417;418
0;entrées et plats composés;salades composées et crudités;-;26258;Salade de betterave, avec sauce, préemballée;0;83.5;1.29;7.45;4.94;5.3;0;2.66;0.37;1.79;1.9;0;0;0;0;0;0;0;21;0;4;0;0;0;0;0;0;280;0;0;0;0;0;0;5;0;0;0;0;0;0;0
0;entrées et plats composés;salades composées et crudités;-;26259;Salade de chou ou Coleslaw, avec sauce, préemballée;105;80.4;0.94;5.78;8.1;4.72;0.35;3;0.63;4.83;2.2;4.39;1.54;0.66;0.01;0.01;0.01;0;39;0.03;1.3;20;9.3;0.26;29;210;20;353;0.27;0;1340;0.25;2.21;23;21.6;0.026;0.01;0.1;0.21;0.093;14.6;0
0;entrées et plats composés;salades composées et crudités;-;26260;Salade de concombre à la crème/fromage blanc, préemballée;0;0;1.1;1.97;11.3;1.39;0;1.48;1.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;411;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;entrées et plats composés;salades composées et crudités;-;26261;Salade de lentilles et saucisse fumée, préemballée;0;0;7;8.9;11.8;0.9;0;3.6;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;355;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;entrées et plats composés;salades composées et crudités;-;26262;Salade grecque, avec sauce, préemballée;0;0;2;1.4;7.1;1.4;0;2;2.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;416;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;entrées et plats composés;salades composées et crudités;-;26263;Salade de riz à la niçoise, avec sauce, préemballée;0;73.7;4.45;15.8;6.08;1.35;0;1.5;0.63;2.51;0.97;0;0.64;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;entrées et plats composés;salades composées et crudités;-;26269;Taboulé ou Salade de couscous au poulet, préemballé;0;62.6;6.4;20.6;7.45;2.48;16.6;2.02;0.86;3.78;1.75;3.78;1.33;0.42;0.01;0.01;0.01;8.24;18;0.1;0.8;20;24;0.32;100;190;20;424;0.65;21;135;0.25;1.48;3.22;0.5;0.14;0.045;1.16;0.4;0.096;96.5;0.1
0;entrées et plats composés;soupes;-;25900;Soupe aux lentilles, préemballée à réchauffer;55;85.8;3.74;6.6;1.12;0.7;0;1.8;0.45;0.52;0.13;0;0;0;0;0;0;3;25;0.17;1.07;4;19;0.24;74;144;16.1;143;0.61;0;430;0;0;0;1.7;0.07;0.045;0.55;0.14;0.09;20;0.12
0;entrées et plats composés;soupes;-;25901;Soupe à la volaille et aux légumes, préemballée à réchauffer;30.8;0;3.09;2.6;0.8;1.2;0;0.4;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;700;0;0;0;0;0;0;0;0;0;1.9;0;0;0;0.11
0;entrées et plats composés;soupes;-;25903;Soupe aux légumes variés, préemballée à réchauffer;39.4;90.2;0.76;5.05;1.56;1.72;2.2;1.1;0.55;0.5;0.11;0.44;0.1;0.0063;0.01;0.01;0.01;3.7;14;0.02;0.14;20;5.3;0.04;19;110;20;275;0.11;21;1710;0;0.62;2.53;5.75;0.29;0.062;0.31;0.33;0.16;39.8;0.052
